"color" "LD1" "LD2" "LD3"
"V31.2" 3 -2.86648568768595 0.180329972216834 -0.647734611591712
"V1.3" 4 7.82382782606756 1.0207225469133 0.135477873599423
"V2.3" 4 4.57244564523693 1.00600811130114 0.645452723349286
"V3.3" 4 7.72967592869133 -0.310147303554449 0.336754104330452
"V4.3" 4 7.50992407789897 1.63229668351523 1.58549562433574
"V5.3" 4 4.9695090628224 2.70722545876164 0.908427177731442
"V6.3" 4 9.5215091695794 0.3690610009614 0.957384187718363
"V7.3" 4 6.67444071760956 1.37549442920498 -2.49970099176998
"V8.3" 4 6.66106503905446 0.454060414967896 1.24035132553181
"V9.3" 4 9.12796842097995 1.84396152083557 -0.850455009715244
"V10.3" 4 6.11148047429865 1.72446370231402 -0.772409209358175
"V11.3" 4 7.52627757150764 1.79138508481757 -0.366605077505567
"V12.3" 4 4.25860816417447 2.04582966712722 -1.66179391761652
"V13.3" 4 5.61644435478988 1.46706495286647 0.578229842125908
"V14.3" 4 6.4870309170464 -0.74744830116118 1.3691917465536
"V15.3" 4 5.58353335371363 -0.327550363358119 -1.9740784665322
"V16.3" 4 6.76484617387402 3.18357956528623 1.54596552167661
"V17.3" 4 6.75534368396203 1.28724058390965 -0.546769495713876
"V18.3" 4 6.27160783051114 1.05585267813036 0.297968899719195
"V19.3" 4 4.48270444629669 -0.39906664314961 -1.40428775271724
"V20.3" 4 6.30869505765352 0.990247802118815 -1.28298635420012
"V21.3" 4 7.05107242026695 0.464972601273237 0.127893535486724
"V22.3" 4 6.1922492565876 0.37800978234403 -1.02539342349484
